i,анаграмма,наводка,кол-во букв,с_наводкой_без_буквы,с_наводкой,без_навод_без_буквы,без_навод,повторное,наводка_дл,анаграмма_дл,решаемость,ВО_сред,Condition,RUN,CUE,TARGET,MEMORY_REPEAT,названия_картинок
0,гвоздь,-,6,-,-,ОЗВГ Ь,ОЗВГДЬ,ВДОЗЬГ,2000,20000,-,-,0,Run0,gvozd-1,gvozd0,ВДОЗЬГ,gvozd
0,кувшин,-,6,-,-,КШУИ В,КШУИНВ,УШКИВН,2000,20000,-,-,0,Run0,kuvshin-1,kuvshin0,УШКИВН,kuvshin
0,журнал,-,6,-,-,Н РУАЖ,НЛРУАЖ,ЛУЖНРА,2000,20000,-,-,0,Run0,zhurnal-1,zhurnal0,ЛУЖНРА,zhurnal
1,земля,змея,5,МЕЯ З,МЕЯЛЗ, ЛЗЕЯ,МЛЗЕЯ,ЛЕЗЯМ,2000,20000,0.97,9.1,1,Run1,zemlya1,zemlya2,ЛЕЗЯМ,zemlya
2,флирт,лифт,5,ИФТ Л,ИФТРЛ,РЛ ИФ,РЛТИФ,ТФРЛИ,2000,20000,0.82,12.65,1,Run1,flirt1,flirt2,ТФРЛИ,flirt
3,пудра,пруд,5,РУД П,РУДАП,Р ПДА,РУПДА,АПУРД,2000,20000,0.70,12.86,1,Run1,pudra1,pudra2,АПУРД,pudra
4,кража,жара,5,АРА Ж,АРАКЖ,ААЖК ,ААЖКР,ЖКРАА,2000,20000,0.60,10.23,1,Run1,krazha1,krazha2,ЖКРАА,krazha
5,голубь,уголь,6,ОЛЬ УГ,ОЛЬБУГ,О ГУБЬ,ОЛГУБЬ,БЛГУЬО,2000,20000,0.91,8.62,1,Run1,golub1,golub2,БЛГУЬО,golub
6,куртка,турка,6,РКА ТУ,РКАКТУ,КУКРТ ,КУКРТА,УАТКРК,2000,20000,0.79,10.17,1,Run1,kurtka1,kurtka2,УАТКРК,kurtka
7,кабина,банка,6,НКА БА,НКАИБА,НИАК Б,НИАКАБ,АБКАИН,2000,20000,0.60,11.26,1,Run1,kabina1,kabina2,АБКАИН,kabina
8,дворец,ведро,6,ВЕДРО ,ВЕДРОЦ,ВДЕ ЦО,ВДЕРЦО,ЦВОЕДР,2000,20000,0.48,15.95,1,Run1,dvorec1,dvorec2,ЦВОЕДР,dvorec
9,родина,радио,6,ДИО РА,ДИОНРА,ИО НРД,ИОАНРД,НОАДИР,2000,20000,0.39,12.67,1,Run1,rodina1,rodina2,НОАДИР,rodina
10,олень,ноль,5,ОЛЬ Н,ОЛЬЕН,О ЕНЛ,ОЬЕНЛ,ЕНЛЬО,2000,20000,0.97,11.82,2,Run1,olen3,olen4,ЕНЛЬО,olen
11,диван,вина,5,ИНА В,ИНАДВ,ИДА Н,ИДАВН,НВИАД,2000,20000,0.80,13.48,2,Run1,divan3,divan4,НВИАД,divan
12,вожак,кожа,5,КОЖА ,КОЖАВ,ОА ЖВ,ОАКЖВ,ЖАВОК,2000,20000,0.67,10.55,2,Run1,vozhak3,vozhak4,ЖАВОК,vozhak
13,топаз,поза,5,ПОЗА ,ПОЗАТ, ТАОЗ ,ПТАОЗ,ЗПАТО,2000,20000,0.61,13.26,2,Run1,topaz3,topaz4,ЗПАТО,topaz
14,ноготь,огонь,6,ГОНЬ О,ГОНЬТО, ТОЬНО,ГТОЬНО,ТООГЬН,2000,20000,0.94,13.96,2,Run1,nogot3,nogot4,ТООГЬН,nogot
15,карман,марка,6,МАРКА ,МАРКАН,КАРН М,КАРНАМ,НКМАРА,2000,20000,0.76,12.43,2,Run1,karman3,karman4,НКМАРА,karman
16,вулкан,лунка,6,УНКА Л,УНКАВЛ,НКЛ УВ,НКЛАУВ,КЛУНВА,2000,20000,0.67,12.24,2,Run1,vulcan3,vulcan4,КЛУНВА,vulcan
17,кнопка,копна,6,ПНА КО,ПНАККО,ПКОК А,ПКОКНА,АНККПО,2000,20000,0.48,13.78,2,Run1,knopka3,knopka4,АНККПО,knopka
18,грудь,друг,5,ДРУГ ,ДРУГЬ,ГД РЬ,ГДУРЬ,УЬГРД,2000,20000,0.94,9.28,1,Run1,grud1,grud2,УЬГРД,grud
19,седло,след,5,ЕД СЛ,ЕДОСЛ, ЛСДО,ЕЛСДО,ДЛСОЕ,2000,20000,0.79,11.7,2,Run1,sedlo3,sedlo4,ДЛСОЕ,sedlo
20,купол,укол,5,КОЛ У,КОЛПУ, ЛПОУ,КЛПОУ,ПКОУЛ,2000,20000,0.67,12.48,1,Run1,kupol1,kupol2,ПКОУЛ,kupol
21,крупа,паук,5,ПАУК ,ПАУКР,УАР П,УАРКП,РКПУА,2000,20000,0.60,16.73,2,Run1,krupa3,krupa4,РКПУА,krupa
22,машина,шаман,6,АМАН Ш,АМАНИШ,ИАШ МА,ИАШНМА,ШНАМАИ ,2000,20000,0.91,10.09,1,Run1,mashina1,mashina2,ШНАМАИ ,mashina
23,колесо,колос,6,КОЛОС ,КОЛОСЕ,С ОКЕО,СЛОКЕО,ЕСОЛКО,2000,20000,0.76,14.64,2,Run1,koleso3,koleso4,ЕСОЛКО,koleso
24,группа,пурга,6,ПУРГА ,ПУРГАП,ПУПР А,ПУПРГА,ПАГПРУ,2000,20000,0.70,14.56,1,Run1,gruppa1,gruppa2,ПАГПРУ,gruppa
25,облако,бокал,6,БОКАЛ ,БОКАЛО, ОЛАОК,БОЛАОК,ЛКБОАО,2000,20000,0.48,14.64,2,Run1,oblako3,oblako4,ЛКБОАО,oblako
26,пункт,кнут,5,УТ КН,УТПКН,П НУК,ПТНУК,ТНКПУ,2000,20000,0.85,10.17,1,Run1,punkt1,punkt2,ТНКПУ,punkt
27,пенал,план,5,АН ПЛ,АНЕПЛ,НЛ ЕА,НЛПЕА,ЕАНПЛ,2000,20000,0.73,11.78,1,Run2,penal1,penal2,ЕАНПЛ,penal
28,парик,икра,5,ИКРА ,ИКРАП,КПР И,КПРАИ,РПИАК,2000,20000,0.64,15.45,1,Run2,parik1,parik2,РПИАК,parik
29,округ,урок,5,УРОК ,УРОКГ,ГОУ Р,ГОУКР,КУОРГ,2000,20000,0.52,14.48,1,Run2,okrug1,okrug2,КУОРГ,okrug
30,грохот,горох,6,ОРОХ Г,ОРОХТГ,РОХ ГТ,РОХОГТ,ХГООТР,2000,20000,0.88,10.69,1,Run2,grohot1,grohot2,ХГООТР,grohot
31,солома,масло,6,МАСЛО ,МАСЛОО,М ОСОЛ,МАОСОЛ,ОМСОЛА,2000,20000,0.73,10.99,1,Run2,soloma1,soloma2,ОМСОЛА,soloma
32,минута,туман,6,ТУМАН ,ТУМАНИ,ТИМ НУ,ТИМАНУ,АНУИТМ,2000,20000,0.55,9.52,1,Run2,minuta1,minuta2,АНУИТМ,minuta
33,партия,пират,6,ИРАТ П,ИРАТЯП,ТИ РПЯ,ТИАРПЯ,ЯРИАТП,2000,20000,0.40,13.83,1,Run2,partiya1,partiya2,ЯРИАТП,partiya
34,доска,коса,5,СА КО,САДКО, ОКАД,СОКАД,ОАДКС,2000,20000,0.85,10.69,2,Run2,doska3,doska4,ОАДКС,doska
35,висок,воск,5,ВОСК ,ВОСКИ,С ВИК,СОВИК,КВОИС,2000,20000,0.73,12.97,2,Run2,visok3,visok4,КВОИС,visok
36,номер,море,5,РЕ МО,РЕНМО, ОНЕМ,РОНЕМ,МРОНЕ,2000,20000,0.64,14.06,2,Run2,nomer3,nomer4,МРОНЕ,nomer
37,грива,игра,5,ИГРА ,ИГРАВ,АВ ИГ,АВРИГ,РИГАВ,2000,20000,0.55,13.76,2,Run2,griva3,griva4,РИГАВ,griva
38,тормоз,мороз,6,ОРОЗ М,ОРОЗТМ,З ОТОМ,ЗРОТОМ,ОТОМРЗ,2000,20000,0.88,10.16,2,Run2,tormoz3,tormoz4,ОТОМРЗ,tormoz
39,колода,лодка,6,ЛОДКА ,ЛОДКАО,ЛКОД О,ЛКОДАО,ДАООЛК,2000,20000,0.73,11.81,2,Run2,koloda3,koloda4,ДАООЛК,koloda
40,сигнал,глина,6,ИНА ГЛ,ИНАСГЛ,Л ИСАГ,ЛНИСАГ,НИГАСЛ,2000,20000,0.55,12.15,2,Run2,signal3,signal4,НИГАСЛ,signal
41,листва,слива,6,ЛИВА С,ЛИВАТС,ВТЛИА ,ВТЛИАС,САТИВЛ,2000,20000,0.45,12.51,2,Run2,listva3,listva4,САТИВЛ,listva
42,сестра,арест,6,РЕСТ А,РЕСТСА, ЕССТА,РЕССТА,ЕТСАСР,2000,20000,0.40,23.72,2,Run2,sestra3,sestra4,ЕТСАСР,sestra
43,мусор,морс,5,МОРС ,МОРСУ,М РУС,МОРУС,СОУМР,2000,20000,0.94,8.89,1,Run2,musor1,musor2,СОУМР,musor
44,ребус,брус,5,БРУС ,БРУСЕ,СЕ БР,СЕУБР,УРЕСБ,2000,20000,0.76,12.81,2,Run2,rebus3,rebus4,УРЕСБ,rebus
45,вдова,вода,5,ОДА В,ОДАВВ,ДВВА ,ДВВАО,АВОВД,2000,20000,0.64,13.07,1,Run2,vdova1,vdova2,АВОВД,vdova
46,схема,смех,5,СМЕХ ,СМЕХА,МАХ С,МАХЕС,АЕСМХ,2000,20000,0.60,19.53,2,Run2,shema3,shema4,АЕСМХ,shema
47,борода,добро,6,ДОБРО ,ДОБРОА,Б АОРД,БОАОРД,ОБОАРД,2000,20000,0.85,12.46,1,Run2,boroda1,boroda2,ОБОАРД,boroda
48,правда,парад,6,АРАД П,АРАДВП,П АДВА,ПРАДВА,ВРПАДА,2000,20000,0.76,10.69,2,Run2,pravda3,pravda4,ВРПАДА,pravda
49,арахис,сахар,6,АХАР С,АХАРИС, СРАИХ,АСРАИХ,ИСАРХА,2000,20000,0.52,15.54,1,Run2,arahis1,arahis2,ИСАРХА,arahis
50,рецепт,перец,6,РЕЦ ПЕ,РЕЦТПЕ,Е ЦРЕТ,ЕПЦРЕТ,ЦРЕТПЕ,2000,20000,0.48,17.03,2,Run2,recept3,recept4,ЦРЕТПЕ,recept
51,бутон,бунт,5,НТ БУ,НТОБУ,ОНБТ ,ОНБТУ,УТНБО,2000,20000,0.82,12.56,1,Run2,buton1,buton2,УТНБО,buton
52,плечо,поле,5,ПОЛЕ ,ПОЛЕЧ,ЛПЧ О,ЛПЧЕО,ОЕПЧЛ,2000,20000,0.73,10.71,1,Run2,plecho1,plecho2,ОЕПЧЛ,plecho
53,свита,аист,5,ИСТ А,ИСТВА,В АИТ,ВСАИТ,САИВТ,2000,20000,0.61,12.58,1,Run3,svita1,svita2,САИВТ,svita
54,залог,глаз,5,ЛАЗ Г,ЛАЗОГ,Г ЛОЗ,ГАЛОЗ,ЗОГАЛ,2000,20000,0.48,12.8,1,Run3,zalog1,zalog2,ЗОГАЛ,zalog
55,печаль,пчела,6,ПЧЕЛА ,ПЧЕЛАЬ,ЛП АЬЧ,ЛПЕАЬЧ,ЧЛАПЕЬ,2000,20000,0.85,12.04,1,Run3,pechal1,pechal2,ЧЛАПЕЬ,pechal
56,стакан,канат,6,НАТ КА,НАТСКА,НСАКА ,НСАКАТ,КСАТНА,2000,20000,0.73,11.7,1,Run3,stakan1,stakan2,КСАТНА,stakan
57,секрет,крест,6,ЕСТ КР,ЕСТЕКР,ЕКЕ РС,ЕКЕТРС,ТЕКСРЕ,2000,20000,0.52,13.02,1,Run3,secret1,secret2,ТЕКСРЕ,secret
58,кошмар,мошка,6, МОШКА,РМОШКА,РМА ШО,РМАКШО,КРОАМШ,2000,20000,-,-,1,Run3,koshmar1,koshmar2,КРОАМШ,koshmar
59,сосуд,соус,5,ОУС С,ОУСДС,О ДСС,ОУДСС,ДССОУ,2000,20000,0.85,11.3,2,Run3,sosud3,sosud4,ДССОУ,sosud
60,сумка,мука,5,КА МУ,КАСМУ,СМУ К,СМУАК,АУМСК,2000,20000,0.73,8.39,2,Run3,sumka3,sumka4,АУМСК,sumka
61,плита,пила,5,ЛА ПИ,ЛАТПИ, ИТПА,ЛИТПА,ТАЛПИ,2000,20000,0.61,14.03,2,Run3,plita3,plita4,ТАЛПИ,plita
62,стопа,пост,5,СТ ПО,СТАПО,АТПС ,АТПСО,ПТАСО,2000,20000,0.45,9.97,2,Run3,stopa3,stopa4,ПТАСО,stopa
63,корова,окова,6,ОКОВА ,ОКОВАР,ОРА КО,ОРАВКО,РОКВОА,2000,20000,0.82,12.33,2,Run3,korova3,korova4,РОКВОА,korova
64,тряпка,пятка,6,ЯТКА П,ЯТКАРП,ПА ЯРТ,ПАКЯРТ,РЯКПТА,2000,20000,0.73,12.2,2,Run3,tryapka3,tryapka4,РЯКПТА,tryapka
65,пробка,кобра,6,БРА КО,БРАПКО,К ПБАО,КРПБАО,АРПОБК,2000,20000,0.52,13.35,2,Run3,probka3,probka4,АРПОБК,probka
66,оправа,повар,6,ПОВАР ,ПОВАРА,ВАПА О,ВАПАРО,АВОАРП,2000,20000,0.42,19.67,2,Run3,oprava3,oprava4,АВОАРП,oprava
67,голод,долг,5,ОЛГ Д,ОЛГОД,ГЛ ОД,ГЛООД,ЛООГД,2000,20000,0.82,12.17,1,Run3,golod1,golod2,ЛООГД,golod
68,ширма,шрам,5,РАМ Ш,РАМИШ,А ИРШ,АМИРШ,ШМРАИ,2000,20000,0.73,14.15,2,Run3,shirma3,shirma4,ШМРАИ,shirma
69,ствол,стол,5,СТОЛ ,СТОЛВ,О ТСВ,ОЛТСВ,ВСОТЛ,2000,20000,0.64,13.16,1,Run3,stvol1,stvol2,ВСОТЛ,stvol
70,табло,болт,5,ЛТ БО,ЛТАБО,ЛАБТ ,ЛАБТО,АОБЛТ,2000,20000,0.45,13.78,2,Run3,tablo3,tablo4,АОБЛТ,tablo
71,звезда,заезд,6,АЕЗД З,АЕЗДВЗ,ВАЗ ЗЕ,ВАЗДЗЕ,ДЗЕАЗВ,2000,20000,0.85,12.6,1,Run3,zvezda1,zvezda2,ДЗЕАЗВ,zvezda
72,власть,вальс,6,ВАЛЬС ,ВАЛЬСТ,ВТ СЬА,ВТЛСЬА,ЛЬАТВС,2000,20000,0.70,12.89,2,Run3,vlast3,vlast4,ЛЬАТВС,vlast
