participant_id,session,trial_sequence,is_practice,global_stim_idx,stim_file,response_adjective,response_feelings,rt_ms,onset_iso,gender,age
"33",2,1,0,86,Figure S87.png,,,6101,2026-07-08T07:49:48.210Z,"Мужской","28"
"33",2,2,0,8,Figure S9.png,,,446,2026-07-08T07:49:54.313Z,"Мужской","28"
"33",2,3,0,90,Figure S91.png,,,285,2026-07-08T07:49:54.760Z,"Мужской","28"
"33",2,4,0,31,Figure S32.png,,,206,2026-07-08T07:49:55.046Z,"Мужской","28"
"33",2,5,0,7,Figure S8.png,,,234,2026-07-08T07:49:55.253Z,"Мужской","28"
"33",2,6,0,64,Figure S65.png,,,184,2026-07-08T07:49:55.488Z,"Мужской","28"
"33",2,7,0,92,Figure S93.png,,,226,2026-07-08T07:49:55.673Z,"Мужской","28"
"33",2,8,0,15,Figure S16.png,,,203,2026-07-08T07:49:55.899Z,"Мужской","28"
"33",2,9,0,5,Figure S6.png,,,198,2026-07-08T07:49:56.103Z,"Мужской","28"
"33",2,10,0,69,Figure S70.png,,,206,2026-07-08T07:49:56.301Z,"Мужской","28"
"33",2,11,0,98,Figure S99.png,,,218,2026-07-08T07:49:56.507Z,"Мужской","28"
"33",2,12,0,115,Figure S116.png,,,205,2026-07-08T07:49:56.725Z,"Мужской","28"
"33",2,13,0,62,Figure S63.png,,,186,2026-07-08T07:49:56.931Z,"Мужской","28"
"33",2,14,0,4,Figure S5.png,,,198,2026-07-08T07:49:57.117Z,"Мужской","28"
"33",2,15,0,81,Figure S82.png,,,190,2026-07-08T07:49:57.316Z,"Мужской","28"
"33",2,16,0,78,Figure S79.png,,,179,2026-07-08T07:49:57.506Z,"Мужской","28"
"33",2,17,0,27,Figure S28.png,,,219,2026-07-08T07:49:57.686Z,"Мужской","28"
"33",2,18,0,111,Figure S112.png,,,220,2026-07-08T07:49:57.906Z,"Мужской","28"
"33",2,19,0,70,Figure S71.png,,,202,2026-07-08T07:49:58.129Z,"Мужской","28"
"33",2,20,0,49,Figure S50.png,,,201,2026-07-08T07:49:58.332Z,"Мужской","28"
"33",2,21,0,14,Figure S15.png,,,204,2026-07-08T07:49:58.535Z,"Мужской","28"
"33",2,22,0,113,Figure S114.png,,,211,2026-07-08T07:49:58.739Z,"Мужской","28"
"33",2,23,0,91,Figure S92.png,,,198,2026-07-08T07:49:58.951Z,"Мужской","28"
"33",2,24,0,116,Figure S117.png,,,199,2026-07-08T07:49:59.149Z,"Мужской","28"
